Destination,Budget_Min,Budget_Max,Start_Date,End_Date,Travel_Type,Activities,Accommodation_Type,Cuisine,Past_Travel_History,Language,Geographical_Features,Cost,Weather_Conditions,Accessibility,Accommodation_Options,Cultural_Highlights,Local_Cuisine,User_Reviews,Special_Features,Tourist_Spots
Goa,145099,116680,2024-05-24,2024-06-18,Group,Nature,Hotel,Vegetarian,"Goa, Leh",English,Goa,90000-100000,Tropical,Low,Villa,Pretty world green.,North Indian,1,Agency beat human push situation science.,Periyar Wildlife Sanctuary
Rishikesh,162971,74627,2024-08-13,2024-10-12,Solo,Adventure,Hotel,Seafood,"Varanasi, Rishikesh, Mumbai",English,Rishikesh,10000-20000,Snowy,High,Homestay,Fly method doctor newspaper force.,Street Food,4,Will lose both.,"Solang Valley, Rohtang Pass"
Goa,140223,18768,2024-05-24,2024-07-01,Solo,Food-related,Villa,Vegetarian,Delhi,English,Leh,130000-140000,Snowy,High,Hotel,Check deep data.,Vegetarian,5,Democrat unit act loss religious.,"Munnar, Alleppey, Varkala"
Goa,13822,80983,2024-08-09,2025-01-01,Solo,Adventure,Villa,Vegetarian,"Goa, Rishikesh, Kerala",English,Goa,100000-110000,Tropical,Low,Villa,Look issue boy technology subject.,Street Food,2,Generation major receive once else peace.,"Fort Kochi, Thekkady"
Mumbai,162593,123099,2024-04-10,2024-12-08,Group,"Food-related, Nature",Hostel,Seafood,Rishikesh,English,Leh,170000-180000,Snowy,High,Homestay,Top trade resource specific traditional probably.,North Indian,4,Form baby or.,Kashi Vishwanath Temple
Leh,151108,59273,2024-06-16,2024-08-01,Family,Cultural,Homestay,South Indian,"Delhi, Jaipur",English,Mumbai,170000-180000,Tropical,Medium,Hostel,Do herself get cost think.,Vegetarian,1,There then foot.,Periyar Wildlife Sanctuary
Kerala,122488,79412,2024-12-09,2024-12-24,Solo,"Food-related, Adventure",Villa,Seafood,Manali,English,Rishikesh,130000-140000,Moderate,Medium,Hotel,Often deal fish hold difficult.,South Indian,2,Bit pattern decision song.,"Solang Valley, Rohtang Pass"
Varanasi,108312,49439,2024-07-28,2024-12-04,Group,"Food-related, Adventure, Cultural",Hostel,South Indian,"Delhi, Leh",English,Rishikesh,60000-70000,Tropical,Medium,Hostel,Interest make student.,South Indian,1,Doctor add serious.,"Munnar, Alleppey, Varkala"
Andaman,35648,105548,2024-01-29,2024-11-27,Family,Nature,Resort,Vegetarian,"Goa, Rishikesh, Varanasi",English,Kerala,30000-40000,Snowy,High,Resort,Hour seem professional across.,Street Food,4,Behind treatment talk nearly.,"Fort Kochi, Thekkady"
Rishikesh,133102,194789,2024-03-24,2024-05-11,Family,"Food-related, Cultural",Hotel,South Indian,"Jaipur, Andaman",English,Mumbai,130000-140000,Snowy,High,Resort,Dream available attention any listen how.,Street Food,4,Sing foreign movie over drop.,Kashi Vishwanath Temple
Jaipur,115674,94190,2024-03-29,2024-11-10,Family,Cultural,Hostel,Seafood,"Goa, Delhi, Jaipur",English,Leh,30000-40000,Tropical,High,Homestay,Use work push.,Vegetarian,2,Away page writer remain attorney.,Periyar Wildlife Sanctuary
Mumbai,35135,133869,2024-04-18,2024-10-06,Family,Nature,Villa,South Indian,"Kerala, Rishikesh, Goa",English,Delhi,150000-160000,Snowy,High,Hostel,Concern represent believe action by risk.,Vegetarian,5,Step show class material.,"Solang Valley, Rohtang Pass"
Mumbai,137306,32886,2024-03-21,2024-08-08,Family,Adventure,Villa,Street Food,Varanasi,English,Andaman,160000-170000,Moderate,High,Hotel,Police form store.,Vegetarian,3,A foreign write art especially hotel.,"Munnar, Alleppey, Varkala"
Rishikesh,179924,55145,2024-09-28,2024-10-13,Family,"Cultural, Nature, Food-related",Villa,South Indian,"Varanasi, Mumbai",English,Mumbai,130000-140000,Tropical,Low,Hotel,Throughout avoid push street security million.,North Indian,5,People statement white teacher.,"Fort Kochi, Thekkady"
Varanasi,159668,8381,2024-07-04,2024-07-12,Couple,Adventure,Hostel,Street Food,"Andaman, Mumbai",English,Jaipur,50000-60000,Tropical,High,Hotel,Others position minute manager.,Street Food,1,Including field baby miss.,Kashi Vishwanath Temple
Manali,127883,66533,2024-03-05,2024-06-24,Couple,"Relaxation, Nature",Villa,Vegetarian,"Kerala, Andaman",English,Andaman,10000-20000,Moderate,Medium,Hotel,Class month generation away out.,South Indian,4,Respond value house sport positive.,Periyar Wildlife Sanctuary
Goa,190782,33646,2024-05-29,2024-11-28,Solo,Adventure,Resort,Seafood,"Goa, Manali, Andaman",English,Varanasi,80000-90000,Snowy,Low,Resort,Name agreement blue major.,Street Food,2,Country agent contain itself charge him.,"Solang Valley, Rohtang Pass"
Mumbai,32811,163931,2024-12-10,2025-01-01,Group,"Adventure, Nature",Villa,Vegetarian,"Mumbai, Manali",English,Jaipur,180000-190000,Moderate,High,Villa,Think however back seek mind.,Vegetarian,2,Full newspaper yourself.,"Munnar, Alleppey, Varkala"
Rishikesh,145135,114198,2024-09-25,2024-11-26,Group,"Cultural, Relaxation, Nature",Hotel,Seafood,Delhi,English,Kerala,90000-100000,Moderate,Medium,Hotel,Possible without door.,North Indian,2,Task must program young.,"Fort Kochi, Thekkady"
Andaman,56075,107569,2024-03-19,2024-11-01,Group,Adventure,Resort,Vegetarian,"Delhi, Rishikesh, Andaman",English,Mumbai,0-10000,Snowy,High,Hostel,Account prevent produce per camera.,Street Food,4,Part situation agent agreement.,Kashi Vishwanath Temple
Manali,48760,183776,2024-02-08,2024-12-11,Couple,"Food-related, Adventure",Villa,North Indian,"Varanasi, Rishikesh",English,Leh,150000-160000,Snowy,Medium,Homestay,Produce center knowledge become second.,Vegetarian,5,Shake site former everyone.,Periyar Wildlife Sanctuary
Rishikesh,16012,83872,2024-12-04,2024-12-07,Group,"Adventure, Relaxation, Nature",Hostel,Seafood,"Goa, Andaman",English,Kerala,120000-130000,Moderate,High,Hotel,Half we control third issue leave.,Vegetarian,1,Line within scene.,"Solang Valley, Rohtang Pass"
Jaipur,195708,22379,2024-09-25,2024-10-08,Family,"Nature, Food-related",Hostel,South Indian,"Manali, Mumbai",English,Rishikesh,120000-130000,Moderate,Low,Villa,Price sort work.,Seafood,1,Senior plant ready will bit them.,"Munnar, Alleppey, Varkala"
Rishikesh,23566,171820,2024-09-04,2024-11-21,Group,"Cultural, Food-related",Hostel,South Indian,"Mumbai, Jaipur, Kerala",English,Goa,110000-120000,Snowy,Medium,Hotel,Vote require speak.,Street Food,5,In develop center business doctor.,"Fort Kochi, Thekkady"
Leh,179869,21888,2024-03-06,2024-12-28,Group,"Cultural, Nature, Adventure",Hostel,Vegetarian,Delhi,English,Goa,170000-180000,Snowy,High,Resort,Baby allow thing various.,Seafood,2,Always prepare bar.,Kashi Vishwanath Temple
Varanasi,71393,18566,2024-07-13,2024-11-09,Couple,"Nature, Food-related, Cultural",Resort,Street Food,"Mumbai, Varanasi, Manali",English,Varanasi,70000-80000,Moderate,High,Resort,Yard speak draw reduce break.,Street Food,3,Ago lay guess.,Periyar Wildlife Sanctuary
Jaipur,118922,67116,2024-06-12,2024-08-12,Couple,Nature,Villa,South Indian,"Leh, Goa",English,Andaman,190000-200000,Moderate,Low,Resort,Action country deep.,Seafood,2,Model industry mouth certainly tonight.,"Solang Valley, Rohtang Pass"
Mumbai,110773,193720,2024-02-15,2024-03-11,Group,"Nature, Cultural",Resort,Street Food,"Mumbai, Leh",English,Goa,20000-30000,Tropical,Medium,Resort,Above stage four radio foreign.,North Indian,4,Camera total run side.,"Munnar, Alleppey, Varkala"
Kerala,90668,84671,2024-04-13,2024-12-16,Solo,Food-related,Villa,South Indian,"Kerala, Manali",English,Kerala,190000-200000,Snowy,Low,Villa,Sure executive history question.,Vegetarian,4,Laugh structure I surface stock century.,"Fort Kochi, Thekkady"
Rishikesh,6449,134814,2024-04-06,2024-11-17,Couple,Adventure,Hostel,Vegetarian,Leh,English,Rishikesh,120000-130000,Tropical,High,Hotel,Real window middle fish.,Vegetarian,3,Congress college report nor dinner behind.,Kashi Vishwanath Temple
Andaman,153429,132356,2024-04-04,2024-04-09,Family,"Nature, Cultural",Homestay,Vegetarian,"Rishikesh, Varanasi",English,Rishikesh,60000-70000,Moderate,Low,Hostel,Any example help east hundred letter.,South Indian,3,Drop argue involve whose.,Periyar Wildlife Sanctuary
Mumbai,111433,165779,2024-06-21,2024-11-15,Solo,Cultural,Resort,Seafood,Goa,English,Jaipur,60000-70000,Tropical,Medium,Resort,Free shake PM strategy use.,South Indian,4,Over early growth police feel.,"Solang Valley, Rohtang Pass"
Delhi,57903,196933,2024-11-24,2024-12-17,Solo,"Food-related, Cultural, Relaxation",Hostel,South Indian,"Andaman, Manali, Delhi",English,Jaipur,120000-130000,Moderate,High,Hotel,Third beautiful sometimes building season least.,Street Food,1,Sea daughter focus start.,"Munnar, Alleppey, Varkala"
Delhi,155487,90929,2024-03-08,2024-10-23,Couple,Cultural,Hostel,Street Food,Rishikesh,English,Jaipur,70000-80000,Moderate,Medium,Villa,Message play past respond country open.,South Indian,4,The end star operation look.,"Fort Kochi, Thekkady"
Kerala,45652,49360,2024-11-04,2024-12-13,Solo,Relaxation,Resort,South Indian,Mumbai,English,Andaman,190000-200000,Snowy,Low,Hotel,Experience nothing like throw involve activity.,Seafood,2,Speech wall use build others.,Kashi Vishwanath Temple
Jaipur,15746,63636,2024-09-04,2024-11-27,Family,"Adventure, Food-related",Hostel,Seafood,"Goa, Manali",English,Andaman,160000-170000,Tropical,High,Villa,Not success summer decision.,Street Food,4,Food thank become yourself fish improve.,Periyar Wildlife Sanctuary
Rishikesh,185263,97826,2024-02-10,2024-09-10,Family,"Food-related, Nature",Hotel,Seafood,Varanasi,English,Rishikesh,100000-110000,Snowy,Low,Homestay,Couple trouble son.,Seafood,5,Finish section dark.,"Solang Valley, Rohtang Pass"
Leh,132653,184864,2024-12-02,2024-12-04,Couple,"Adventure, Relaxation, Food-related",Homestay,Street Food,Rishikesh,English,Varanasi,170000-180000,Moderate,High,Hostel,Left weight discuss him travel as.,North Indian,2,Performance true let assume seven project.,"Munnar, Alleppey, Varkala"
Mumbai,154585,51771,2024-07-07,2024-11-03,Solo,Cultural,Hotel,Vegetarian,Mumbai,English,Leh,160000-170000,Moderate,High,Hostel,Those career imagine half notice.,Seafood,2,Best actually south friend deal capital.,"Fort Kochi, Thekkady"
Mumbai,33640,194445,2024-08-14,2025-01-10,Couple,Cultural,Hotel,South Indian,Manali,English,Manali,150000-160000,Moderate,Low,Hostel,Affect room more.,Street Food,3,Enough drop mention center.,Kashi Vishwanath Temple
Varanasi,137417,187113,2024-06-20,2024-06-24,Couple,"Adventure, Nature",Resort,Seafood,Varanasi,English,Manali,130000-140000,Tropical,Low,Resort,Knowledge news society dark section stay.,Street Food,3,Kind while television.,Periyar Wildlife Sanctuary
Goa,37931,104804,2024-10-02,2024-12-08,Couple,Food-related,Villa,Vegetarian,"Andaman, Goa",English,Leh,60000-70000,Moderate,Medium,Hotel,Shoulder sure president.,Vegetarian,5,Dinner student perhaps grow high could.,"Solang Valley, Rohtang Pass"
Kerala,146425,146779,2024-07-17,2024-08-08,Family,"Nature, Adventure",Hotel,Seafood,"Mumbai, Delhi, Rishikesh",English,Manali,80000-90000,Snowy,High,Villa,Something TV audience perhaps.,Vegetarian,5,System behind at show try a.,"Munnar, Alleppey, Varkala"
Manali,96622,24577,2024-01-03,2024-04-27,Couple,Nature,Hostel,North Indian,"Kerala, Delhi, Varanasi",English,Leh,0-10000,Snowy,High,Hostel,White reach degree feel.,South Indian,1,Local month must a sing.,"Fort Kochi, Thekkady"
Varanasi,54199,71136,2024-03-23,2024-04-04,Group,"Cultural, Adventure, Food-related",Homestay,North Indian,"Delhi, Jaipur",English,Goa,100000-110000,Tropical,Low,Hostel,Car myself already poor.,Vegetarian,4,Consider computer own husband.,Kashi Vishwanath Temple
Kerala,175831,122926,2024-07-12,2024-09-23,Group,"Cultural, Adventure",Hotel,North Indian,"Manali, Leh, Jaipur",English,Andaman,0-10000,Moderate,High,Resort,Many range energy.,Street Food,1,Home do nature join style perhaps.,Periyar Wildlife Sanctuary
Kerala,164882,195147,2024-11-30,2024-12-02,Solo,"Nature, Adventure, Cultural",Homestay,South Indian,Delhi,English,Kerala,70000-80000,Moderate,High,Hostel,Lawyer city skin.,South Indian,1,Speak box everything receive.,"Solang Valley, Rohtang Pass"
Mumbai,136217,45865,2024-11-13,2024-11-18,Group,"Food-related, Adventure, Cultural",Villa,South Indian,Goa,English,Rishikesh,120000-130000,Tropical,Low,Resort,Visit future effect.,South Indian,2,Lay beat song foot.,"Munnar, Alleppey, Varkala"
Andaman,66000,34558,2024-04-03,2024-08-26,Couple,"Adventure, Food-related",Hotel,Seafood,Leh,English,Rishikesh,160000-170000,Moderate,Medium,Resort,Size lot else.,South Indian,1,While money ever word need.,"Fort Kochi, Thekkady"
Leh,129072,166185,2024-07-16,2024-10-09,Solo,"Cultural, Adventure",Hostel,Seafood,Mumbai,English,Rishikesh,150000-160000,Tropical,Medium,Hostel,Why and reflect hard.,South Indian,3,Certain easy matter no water anyone.,Kashi Vishwanath Temple
Varanasi,171557,107152,2024-05-12,2025-01-09,Family,"Adventure, Cultural",Homestay,Vegetarian,Rishikesh,English,Mumbai,150000-160000,Moderate,Low,Resort,Medical memory movement sort.,South Indian,2,Role sometimes hope continue idea.,Periyar Wildlife Sanctuary
Andaman,31654,107023,2024-03-22,2024-03-27,Group,"Relaxation, Nature, Food-related",Villa,North Indian,"Leh, Mumbai, Andaman",English,Kerala,70000-80000,Tropical,High,Hotel,Price few game.,North Indian,2,At community local item.,"Solang Valley, Rohtang Pass"
Kerala,70011,85652,2024-01-03,2024-08-03,Solo,Cultural,Resort,Vegetarian,"Kerala, Mumbai",English,Mumbai,180000-190000,Tropical,Low,Villa,Arm music any.,Seafood,2,Which edge million certain the.,"Munnar, Alleppey, Varkala"
Varanasi,68542,182441,2024-02-22,2024-12-12,Family,"Adventure, Cultural",Hotel,South Indian,"Varanasi, Rishikesh, Jaipur",English,Kerala,180000-190000,Tropical,High,Villa,Fast medical including step whom.,Vegetarian,2,Bed easy move win first policy need.,"Fort Kochi, Thekkady"
Kerala,50949,45827,2024-04-11,2024-09-11,Solo,"Food-related, Nature, Relaxation",Homestay,Street Food,"Delhi, Mumbai",English,Mumbai,180000-190000,Tropical,Medium,Hotel,Staff avoid month alone figure.,North Indian,2,Walk network sometimes.,Kashi Vishwanath Temple
Kerala,31737,78171,2024-06-27,2024-10-13,Couple,"Cultural, Relaxation",Resort,Seafood,"Rishikesh, Kerala, Delhi",English,Mumbai,40000-50000,Moderate,Medium,Villa,Foreign often south.,South Indian,2,My also threat write condition.,Periyar Wildlife Sanctuary
Manali,164572,164009,2024-02-16,2024-12-14,Group,Relaxation,Villa,South Indian,"Jaipur, Leh, Goa",English,Varanasi,160000-170000,Moderate,Low,Hotel,Century tree quite house reach movie.,Street Food,1,Serve grow pressure cultural site trip.,"Solang Valley, Rohtang Pass"
Rishikesh,174458,123585,2024-07-13,2024-10-09,Family,"Cultural, Relaxation, Nature",Hotel,Street Food,Rishikesh,English,Rishikesh,120000-130000,Moderate,Medium,Hotel,Show operation woman bill a.,Street Food,5,Coach notice represent.,"Munnar, Alleppey, Varkala"
Leh,187794,99830,2024-12-11,2024-12-13,Couple,"Cultural, Food-related",Resort,South Indian,"Manali, Varanasi",English,Leh,20000-30000,Moderate,Medium,Resort,Need agency central positive.,North Indian,1,City reflect suggest school population develop.,"Fort Kochi, Thekkady"
Leh,167683,18680,2024-06-22,2024-08-09,Couple,"Adventure, Relaxation, Food-related",Homestay,Street Food,"Goa, Kerala, Varanasi",English,Rishikesh,50000-60000,Moderate,High,Villa,Decide commercial machine Mr nor require.,Seafood,5,Call necessary fire ten.,Kashi Vishwanath Temple
Mumbai,114491,177592,2024-02-28,2024-09-12,Solo,"Nature, Cultural",Hotel,Street Food,"Kerala, Rishikesh, Varanasi",English,Delhi,20000-30000,Tropical,Medium,Villa,Use human sing everybody outside.,Vegetarian,5,Garden true summer cup year inside.,Periyar Wildlife Sanctuary
Jaipur,98487,75804,2024-08-16,2025-01-11,Couple,"Cultural, Adventure, Relaxation",Resort,Street Food,"Manali, Kerala, Goa",English,Rishikesh,20000-30000,Moderate,Medium,Hotel,Together need player culture.,Vegetarian,5,Their boy sure apply this look.,"Solang Valley, Rohtang Pass"
Mumbai,83010,99274,2024-08-06,2024-10-18,Couple,"Relaxation, Food-related",Homestay,Seafood,Manali,English,Jaipur,100000-110000,Moderate,High,Resort,Take send force customer ball.,South Indian,2,Commercial movement whatever.,"Munnar, Alleppey, Varkala"
Delhi,161967,171426,2024-08-14,2024-10-13,Solo,Nature,Hotel,Street Food,"Jaipur, Goa",English,Mumbai,140000-150000,Moderate,Low,Hostel,Above power environmental approach agent.,Seafood,2,Data set glass.,"Fort Kochi, Thekkady"
Andaman,141207,37538,2024-09-06,2024-09-11,Family,Food-related,Hostel,Vegetarian,Jaipur,English,Leh,70000-80000,Moderate,Medium,Villa,Center deal would.,Seafood,4,Wall remember early figure action participant.,Kashi Vishwanath Temple
Goa,5510,127492,2024-02-22,2024-09-12,Couple,"Cultural, Relaxation, Adventure",Hostel,Seafood,"Delhi, Jaipur",English,Goa,100000-110000,Snowy,Low,Hotel,Budget none list trouble hotel.,Seafood,2,Read than maintain often.,Periyar Wildlife Sanctuary
Leh,50488,56363,2024-09-02,2024-12-31,Couple,"Adventure, Cultural, Food-related",Villa,North Indian,"Jaipur, Manali, Delhi",English,Goa,120000-130000,Tropical,Low,Homestay,American suffer less spring person weight.,Seafood,1,Thing political much maintain decision.,"Solang Valley, Rohtang Pass"
Andaman,79140,193924,2024-05-02,2024-05-16,Group,Cultural,Hotel,South Indian,"Jaipur, Andaman, Leh",English,Jaipur,50000-60000,Moderate,High,Homestay,Star human able travel require.,Seafood,4,Ever according real top culture physical.,"Munnar, Alleppey, Varkala"
Andaman,118988,38780,2024-11-03,2024-11-07,Couple,Adventure,Villa,Seafood,"Andaman, Mumbai, Jaipur",English,Mumbai,70000-80000,Tropical,Low,Homestay,Down many program.,South Indian,2,There character think.,"Fort Kochi, Thekkady"
Manali,139457,175766,2024-02-08,2024-08-08,Group,"Relaxation, Food-related",Homestay,Seafood,Andaman,English,Goa,190000-200000,Snowy,Low,Hotel,Even page mother contain investment city.,Seafood,3,Camera off act.,Kashi Vishwanath Temple
Mumbai,38769,161960,2024-07-09,2024-10-22,Couple,"Relaxation, Food-related",Homestay,Vegetarian,Manali,English,Kerala,90000-100000,Snowy,Low,Hotel,While inside senior.,Street Food,2,Manage human eight establish same.,Periyar Wildlife Sanctuary
Manali,55847,30775,2024-11-01,2024-12-06,Solo,"Nature, Cultural",Resort,Seafood,Leh,English,Rishikesh,100000-110000,Moderate,Medium,Resort,Attorney compare hour personal page.,Seafood,4,Subject today man.,"Solang Valley, Rohtang Pass"
Leh,36484,120354,2024-01-24,2024-03-03,Group,Adventure,Resort,Street Food,"Kerala, Manali",English,Leh,180000-190000,Snowy,Low,Villa,Day despite artist not bar.,Street Food,2,Help travel fall conference use.,"Munnar, Alleppey, Varkala"
Andaman,106810,22045,2024-05-28,2024-11-01,Group,Adventure,Hostel,Vegetarian,Kerala,English,Kerala,20000-30000,Snowy,Low,Homestay,Light marriage sea decide relate.,Vegetarian,1,Loss lead none military as skill.,"Fort Kochi, Thekkady"
